customer_id,signup_date,plan_type,monthly_spend,last_login_date,num_logins_30d,support_tickets_30d,preferred_language,internal_import_batch
cust_1001,2025-04-23,Enterprise,223.39,2026-07-27,22,1,nl,import_02
cust_1002,2024-09-10,Professional,104.91,2026-05-13,0,2,de,import_06
cust_1003,2024-08-25,Basic,18.59,2026-08-03,24,1,de,import_05
cust_1004,2026-04-05,Enterprise,241.13,2026-08-04,24,3,fr,import_05
cust_1005,2024-06-06,Basic,17.64,2026-08-05,28,1,es,import_01
cust_1006,2026-01-15,Enterprise,244.70,2026-06-20,18,1,pt,import_07
cust_1007,2025-12-04,Enterprise,218.79,2026-07-08,20,2,nl,import_06
cust_1008,2026-05-13,Enterprise,260.81,2026-05-03,0,5,en,import_05
cust_1009,2022-10-16,Standard,44.23,2026-08-05,21,2,pt,import_04
cust_1010,2024-09-24,Standard,48.53,2026-07-24,15,2,es,import_01
cust_1011,2023-02-11,Enterprise,239.24,2026-06-07,14,3,pt,import_04
cust_1012,2025-04-24,Basic,16.84,2026-06-27,17,2,en,import_03
cust_1013,2022-09-25,Basic,20.82,2026-05-13,5,4,fr,import_05
cust_1014,2023-03-19,Standard,50.29,2026-06-08,11,3,pt,import_04
cust_1015,2023-05-26,Standard,49.50,2026-08-05,20,1,en,import_05
cust_1016,2026-07-11,Professional,96.63,2026-07-18,22,2,de,import_08
cust_1017,2023-07-08,Professional,105.60,2026-07-13,22,0,es,import_05
cust_1018,2022-11-16,Standard,48.64,2026-05-22,10,3,fr,import_07
cust_1019,2024-01-17,Standard,52.07,2026-05-18,10,3,fr,import_05
cust_1020,2023-10-24,Enterprise,247.15,2026-08-03,18,1,de,import_01
cust_1021,2022-09-23,Basic,20.42,2026-07-21,25,2,pt,import_07
cust_1022,2025-06-06,Standard,48.51,2026-07-27,25,2,en,import_01
cust_1023,2026-03-21,Professional,88.05,2026-07-01,11,1,pt,import_03
cust_1024,2024-05-04,Professional,93.67,2026-07-28,17,2,es,import_04
cust_1025,2026-06-12,Standard,51.42,2026-08-05,23,1,en,import_02
cust_1026,2025-11-16,Basic,19.52,2026-06-22,10,3,en,import_08
cust_1027,2025-11-20,Basic,17.99,2026-07-25,16,1,fr,import_03
cust_1028,2023-10-17,Professional,101.42,2026-06-09,14,2,nl,import_07
cust_1029,2025-06-18,Enterprise,270.92,2026-06-25,16,5,es,import_08
cust_1030,2025-08-29,Professional,96.32,2026-06-12,7,3,nl,import_04
cust_1031,2025-10-13,Professional,106.09,2026-07-28,27,3,fr,import_03
cust_1032,2025-12-10,Basic,18.27,2026-07-22,24,1,es,import_03
cust_1033,2023-11-30,Professional,94.29,2026-05-24,11,3,en,import_06
cust_1034,2025-06-15,Enterprise,266.04,2026-05-12,9,3,en,import_07
cust_1035,2022-09-06,Professional,96.62,2026-07-30,18,3,de,import_01
cust_1036,2025-04-17,Basic,21.33,2026-06-06,4,2,fr,import_04
cust_1037,2023-10-08,Standard,53.80,2026-07-18,20,1,pt,import_05
cust_1038,2023-07-19,Professional,108.00,2026-07-29,27,2,nl,import_01
cust_1039,2024-07-09,Basic,20.31,2026-06-22,8,4,nl,import_05
cust_1040,2026-01-13,Enterprise,243.43,2026-07-30,17,1,de,import_04
cust_1041,2025-05-21,Professional,106.54,2026-05-08,4,5,en,import_04
cust_1042,2024-05-03,Basic,16.96,2026-07-31,27,2,pt,import_08
cust_1043,2025-01-23,Enterprise,229.73,2026-08-01,21,2,pt,import_08
cust_1044,2024-10-27,Professional,96.92,2026-07-16,19,1,es,import_05
cust_1045,2023-09-30,Enterprise,276.84,2026-07-01,17,2,en,import_05
cust_1046,2022-07-14,Basic,17.90,2026-07-23,24,1,nl,import_04
cust_1047,2026-05-04,Enterprise,263.91,2026-08-02,26,1,en,import_06
cust_1048,2022-10-30,Standard,42.90,2026-07-16,24,2,nl,import_03
cust_1049,2023-12-10,Professional,92.72,2026-08-05,27,0,pt,import_02
cust_1050,2023-12-05,Basic,17.81,2026-06-19,12,4,de,import_06
cust_1051,2024-03-30,Basic,20.10,2026-07-21,18,1,fr,import_07
cust_1052,2023-11-06,Basic,17.26,2026-08-01,23,2,fr,import_07
cust_1053,2023-04-19,Professional,92.99,2026-07-02,19,1,nl,import_07
cust_1054,2024-12-15,Enterprise,259.61,2026-08-01,21,2,de,import_01
cust_1055,2025-04-03,Standard,47.76,2026-08-03,29,3,pt,import_05
cust_1056,2024-03-30,Enterprise,271.30,2026-07-29,20,1,de,import_05
cust_1057,2024-12-27,Standard,51.22,2026-08-02,21,2,es,import_03
cust_1058,2025-01-05,Enterprise,225.76,2026-08-04,26,0,es,import_04
cust_1059,2022-10-07,Basic,18.00,2026-05-08,0,1,en,import_02
cust_1060,2023-03-31,Standard,48.45,2026-07-28,16,3,pt,import_04
cust_1061,2025-02-09,Enterprise,225.00,2026-07-13,13,1,fr,import_07
cust_1062,2025-08-06,Basic,19.12,2026-08-05,29,1,es,import_05
cust_1063,2023-02-05,Enterprise,238.50,2026-07-20,17,2,de,import_02
cust_1064,2026-06-04,Professional,108.73,2026-08-02,18,1,fr,import_06
cust_1065,2025-10-18,Professional,87.52,2026-07-18,25,0,en,import_02
cust_1066,2023-06-09,Basic,18.98,2026-07-01,21,2,de,import_04
cust_1067,2024-10-16,Basic,20.54,2026-05-07,0,2,pt,import_01
cust_1068,2024-12-06,Professional,92.39,2026-07-10,14,3,nl,import_04
cust_1069,2023-12-02,Professional,86.80,2026-07-09,17,0,en,import_07
cust_1070,2023-09-09,Enterprise,279.30,2026-06-18,17,2,en,import_08
cust_1071,2025-04-06,Professional,91.23,2026-07-05,21,2,en,import_02
cust_1072,2025-02-15,Basic,17.08,2026-05-15,0,3,nl,import_03
cust_1073,2024-02-29,Enterprise,219.14,2026-08-01,21,0,fr,import_06
cust_1074,2024-05-12,Standard,46.91,2026-07-20,21,2,fr,import_02
cust_1075,2022-07-18,Basic,20.93,2026-07-21,17,1,fr,import_04
cust_1076,2026-01-10,Enterprise,230.67,2026-07-31,18,2,fr,import_02
cust_1077,2023-06-27,Professional,97.43,2026-08-05,23,1,fr,import_08
cust_1078,2024-07-17,Professional,98.62,2026-06-24,11,4,en,import_05
cust_1079,2023-01-25,Enterprise,255.21,2026-05-04,4,5,de,import_02
cust_1080,2023-05-12,Standard,49.89,2026-07-07,20,2,nl,import_07
